Unnamed: 0,text,rating,category,product_name,product_id,sold,shop_id,product_url
1834,Terlalu kecil ukurannya,5,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1835,Terimakasih gan barang josss gandosss sesuai..  Mantap,5,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1836,"Produk bagus, tp ternyata bagian atas dijahit ga bisa elastis.. Jd ga bisa masuk kaki bagian belakang.. Meski size 44",4,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1837,sepatunya bagus tidak ada cacat tapi ukuran 44 ternyata masih cukup sesak untuk ukuran kaki saya,4,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1838,Sepatu sesuai dengan harganya,3,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1839,Ini ukurannya ga normal kayak kebanyakan ukuran sepatu yang ada di pasaran. Ukurannya agak kecil2.,3,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1840,"✔ Penjual responsif dan kooperatif.
✔ Pengiriman cepat (1 hari ke Jak-Tim, J&amp;T Regular).
✔ Packing aman.
✔ Barang sangat bagus, sesuai harapan, 95% serupa original.

Saran untuk yg mau beli: Ukuran kaki saya 42. Saya pesan barang ini ukuran 44 dan ternyata ukuran size 44 setara ukuran 41.",5,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1841,"Packing rapih dan barang sesuai, good seller lah, thanks gan",5,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1842,"Model brang sdh sesuai deskripsi... Tapi kenapa ukuran 44nya ndak sesuai ya.. ukuran panjang sesuai tapi ukuran tinggi spatunya kyk ukuran kaki no 40. 

Aku kasih foto sepatunya yg tak coba aku pakai.",2,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1843,"Tidak recommended, kaki tidak bisa masuk, sepatu seperti sablonan, kualitas not ok",1,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1844,biar bintang yg berbicara,5,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1845,Barangnya sesuai gambar,5,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1846,Good job good seller.. packing bagus mendarat dgn cantik.. pertahankan kepuasan pelanggan,5,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1847,Terima kasih. Sepatunya sudah sampai,4,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
1848,Produk sesuai gambar .. walaupun masalah karena bagian pas masukny kecil JD GK muat . Overall oke sih .. seller respon cepat .,5,fashion,Sepatu Sneakers Adidas Swift Run Harian Running Pria Cowo Grade Ori,363833137,69,52614,https://www.tokopedia.com/ojarr/sepatu-sneakers-adidas-swift-run-harian-running-pria-cowo-grade-ori
