ulasan,rating,kategori,nama_produk,ulasan_tokenize,ulasan_normalized,ulasan_stop_removed,ulasan_Stemmed,ulasan_clean,label
barang sesuai pesanan dan cepat sampai,5,pertukangan,Staples Dekorasi Staples Kayu + Refill 8mm - Staples Gun 4-8 mm C Mart,"['barang', 'sesuai', 'pesanan', 'dan', 'cepat', 'sampai']","['barang', 'sesuai', 'pesanan', 'dan', 'cepat', 'sampai']","['barang', 'sesuai', 'pesanan', 'cepat']","['barang', 'sesuai', 'pesan', 'cepat']",barang sesuai pesan cepat,2
barang bagus harga murah,5,pertukangan,STAPLE GUN ATS 3 WAY TACKER - STAPLES JOK TEMBAK HEKTER 022708,"['barang', 'bagus', 'harga', 'murah']","['barang', 'bagus', 'harga', 'murah']","['barang', 'bagus', 'harga', 'murah']","['barang', 'bagus', 'harga', 'murah']",barang bagus harga murah,2
paket rapimantapcepatsampe ke tujuan,5,pertukangan,STAPLE GUN ATS 3 WAY TACKER - STAPLES JOK TEMBAK HEKTER 022708,"['paket', 'rapimantapcepatsampe', 'ke', 'tujuan']","['paket', 'rapi', 'ke', 'tujuan']","['paket', 'rapi', 'tujuan']","['paket', 'rapi', 'tuju']",paket rapi tuju,2
ya saya puas dgn barangnya,5,pertukangan,ALAT STAPLES TEMBAK &#40;AIR NAILER GUN&#41; OSSEL 1022J,"['ya', 'saya', 'puas', 'dgn', 'barangnya']","['ya', 'saya', 'puas', 'dengan', 'barangnya']","['ya', 'puas', 'barangnya']","['ya', 'puas', 'barang']",ya puas barang,2
responya luar biasa mantap,5,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,"['responya', 'luar', 'biasa', 'mantap']","['respon', 'luar', 'biasa', 'mantap']","['respon', 'mantap']","['respon', 'mantap']",respon mantap,2
seller top pengiriman cepat barang oke,5,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,"['seller', 'top', 'pengiriman', 'cepat', 'barang', 'oke']","['seller', 'top', 'pengiriman', 'cepat', 'barang', 'oke']","['seller', 'top', 'pengiriman', 'cepat', 'barang', 'oke']","['seller', 'top', 'kirim', 'cepat', 'barang', 'oke']",seller top kirim cepat barang oke,2
pengiriman cepat seller top,5,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,"['pengiriman', 'cepat', 'seller', 'top']","['pengiriman', 'cepat', 'seller', 'top']","['pengiriman', 'cepat', 'seller', 'top']","['kirim', 'cepat', 'seller', 'top']",kirim cepat seller top,2
produk sesuai dengan spec di web dan respon seller sangat cepat thankyou,5,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,"['produk', 'sesuai', 'dengan', 'spec', 'di', 'web', 'dan', 'respon', 'seller', 'sangat', 'cepat', 'thankyou']","['produk', 'sesuai', 'dengan', 'spec', 'di', 'web', 'dan', 'respon', 'seller', 'sangat', 'cepat', 'terima kasih']","['produk', 'sesuai', 'spec', 'web', 'respon', 'seller', 'cepat', 'terima kasih']","['produk', 'sesuai', 'spec', 'web', 'respon', 'seller', 'cepat', 'terima kasih']",produk sesuai spec web respon seller cepat terima kasih,2
respon super cepat pengiriman cepat barang bagus sesuai deskripsi penjualthx gan,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,"['respon', 'super', 'cepat', 'pengiriman', 'cepat', 'barang', 'bagus', 'sesuai', 'deskripsi', 'penjualthx', 'gan']","['respon', 'super', 'cepat', 'pengiriman', 'cepat', 'barang', 'bagus', 'sesuai', 'deskripsi', 'penjualthx', 'juragan']","['respon', 'super', 'cepat', 'pengiriman', 'cepat', 'barang', 'bagus', 'sesuai', 'deskripsi', 'penjualthx', 'juragan']","['respon', 'super', 'cepat', 'kirim', 'cepat', 'barang', 'bagus', 'sesuai', 'deskripsi', 'penjualthx', 'juragan']",respon super cepat kirim cepat barang bagus sesuai deskripsi penjualthx juragan,2
barang mantap pelayanan cepat,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,"['barang', 'mantap', 'pelayanan', 'cepat']","['barang', 'mantap', 'pelayanan', 'cepat']","['barang', 'mantap', 'pelayanan', 'cepat']","['barang', 'mantap', 'layan', 'cepat']",barang mantap layan cepat,2
sipppsesuai picdscrbscuma blum dicoba,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,"['sipppsesuai', 'picdscrbscuma', 'blum', 'dicoba']","['sesuai', 'picdscrbscuma', 'belum', 'dicoba']","['sesuai', 'picdscrbscuma', 'dicoba']","['sesuai', 'picdscrbscuma', 'coba']",sesuai picdscrbscuma coba,2
sayang produk yg datang di paking kurang rapi sehingga kebuka isinya terhambur saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer untuk kualitas barang seperinya bagus walau saya belum coba terima kasih,3,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,"['sayang', 'produk', 'yg', 'datang', 'di', 'paking', 'kurang', 'rapi', 'sehingga', 'kebuka', 'isinya', 'terhambur', 'saran', 'klo', 'mengirimkan', 'isi', 'paku', 'tembak', 'seperti', 'ini', 'di', 'beri', 'lakban', 'dulu', 'dikemasan', 'pakunya', 'baru', 'di', 'gabung', 'kan', 'dgn', 'yg', 'lain', 'supaya', 'tidak', 'tercecer', 'untuk', 'kualitas', 'barang', 'seperinya', 'bagus', 'walau', 'saya', 'belum', 'coba', 'terima', 'kasih']","['sayang', 'produk', 'yang', 'datang', 'di', 'paking', 'kurang', 'rapi', 'sehingga', 'kebuka', 'isinya', 'terhambur', 'saran', 'kalau', 'mengirimkan', 'isi', 'paku', 'tembak', 'seperti', 'ini', 'di', 'beri', 'lakban', 'dulu', 'dikemasan', 'pakunya', 'baru', 'di', 'gabung', 'kan', 'dengan', 'yang', 'lain', 'supaya', 'tidak', 'tercecer', 'untuk', 'kualitas', 'barang', 'seperinya', 'bagus', 'walau', 'saya', 'belum', 'coba', 'terima', 'kasih']","['sayang', 'produk', 'paking', 'rapi', 'kebuka', 'isinya', 'terhambur', 'saran', 'mengirimkan', 'isi', 'paku', 'tembak', 'lakban', 'dikemasan', 'pakunya', 'gabung', 'tercecer', 'kualitas', 'barang', 'seperinya', 'bagus', 'coba', 'terima', 'kasih']","['sayang', 'produk', 'paking', 'rapi', 'buka', 'isi', 'hambur', 'saran', 'kirim', 'isi', 'paku', 'tembak', 'lakban', 'kemas', 'paku', 'gabung', 'cecer', 'kualitas', 'barang', 'per', 'bagus', 'coba', 'terima', 'kasih']",sayang produk paking rapi buka isi hambur saran kirim isi paku tembak lakban kemas paku gabung cecer kualitas barang per bagus coba terima kasih,1
barang sesuai deskripsirespon dan proses cepat terima kasih,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,"['barang', 'sesuai', 'deskripsirespon', 'dan', 'proses', 'cepat', 'terima', 'kasih']","['barang', 'sesuai', 'deskripsi', 'dan', 'proses', 'cepat', 'terima', 'kasih']","['barang', 'sesuai', 'deskripsi', 'proses', 'cepat', 'terima', 'kasih']","['barang', 'sesuai', 'deskripsi', 'proses', 'cepat', 'terima', 'kasih']",barang sesuai deskripsi proses cepat terima kasih,2
mantaaaaaaaappp,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,['mantaaaaaaaappp'],['bagus'],['bagus'],['bagus'],bagus,2
superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,['superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr'],['superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr'],['superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr'],['superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr'],superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,2
